age,income,employment_years,num_credit_lines,credit_util_ratio,num_late_payments,debt_to_income,loan_amount,loan_tenure_yrs,existing_loans,savings_balance,has_mortgage,has_car_loan,creditworthy
35,58926.34,34.0,6,0.2955,3,0.42,12610.82,5,1,14474.08,1,0,0
64,82048.55,11.0,4,0.2513,0,0.5585,15047.12,3,0,1622.66,0,0,0
70,79888.31,4.0,11,0.5977,4,0.6068,13882.3,5,3,2761.9,0,0,0
41,75401.82,9.0,14,0.3192,1,0.4387,7645.11,2,3,8857.64,0,0,1
43,53144.73,32.0,8,0.3783,1,0.1879,11783.3,8,0,783.81,0,0,1
42,,12.0,2,0.08,0,0.1627,17374.29,4,0,21672.91,0,0,1
62,78104.05,34.0,11,0.1674,0,0.3716,16225.65,9,2,1060.28,0,1,1
58,44434.16,31.0,2,0.1795,2,0.4407,20775.39,3,4,8800.65,0,0,1
46,71914.95,10.0,7,0.2186,0,0.6451,2661.37,7,2,8065.54,0,0,1
32,41601.02,,13,0.1021,1,0.3057,20355.97,3,2,9579.43,0,0,1
62,68500.61,34.0,5,0.3521,1,0.3736,26324.52,4,4,4544.06,1,0,1
18,22522.08,18.0,13,0.13,2,0.3363,22981.37,2,1,3853.83,0,0,1
42,24444.7,5.0,1,0.0776,1,0.3928,1000.0,6,4,30410.29,0,0,1
24,81455.18,34.0,7,0.2054,2,0.3534,16133.53,5,1,13593.08,0,0,1
26,78439.0,3.0,7,0.4572,2,0.2117,15574.45,4,4,5315.6,0,1,0
41,70840.29,32.0,10,0.2815,2,0.2472,9189.38,4,1,,0,0,1
18,57199.22,12.0,6,0.2656,4,0.3535,23557.54,1,3,17698.56,0,1,0
61,10000.0,18.0,4,0.1131,1,0.342,19785.41,3,3,8370.04,0,0,1
25,53128.1,11.0,12,0.7119,3,0.3047,16975.57,5,4,1167.36,0,1,1
41,66354.58,10.0,13,0.2699,4,0.1949,7657.14,2,0,1617.95,0,0,1
28,41631.67,5.0,8,0.2061,0,0.2616,15344.59,7,3,6226.5,1,0,1
68,37187.65,11.0,12,0.3029,1,0.2283,24757.55,3,4,5604.33,1,1,0
34,91110.51,26.0,11,0.3193,2,0.3988,28122.42,8,4,4211.33,0,0,0
25,53492.78,24.0,2,0.3743,0,0.2732,11950.23,2,3,4453.2,0,0,1
52,66369.88,2.0,2,0.2166,0,0.2529,10719.12,8,4,1511.89,1,1,1
52,74353.29,2.0,2,0.3601,2,0.5355,18209.96,5,0,2359.97,0,1,0
50,29964.07,19.0,3,0.5952,3,0.3104,5821.29,9,1,5429.35,0,0,0
22,59830.19,27.0,6,0.4314,0,0.2203,1000.0,9,4,526.59,0,0,1
59,87991.11,22.0,1,0.1598,0,0.2971,12268.91,6,3,3479.34,1,1,1
56,100480.58,2.0,11,0.1209,0,0.2971,19061.7,3,0,1889.57,0,0,1
58,55998.41,23.0,2,0.0458,4,0.5768,8371.81,1,0,1535.56,1,0,1
45,49051.41,5.0,10,0.2167,3,0.4923,19713.43,1,4,1268.15,0,1,0
24,61725.6,19.0,2,0.3068,3,0.2901,11662.52,5,2,1208.35,1,0,0
26,61090.93,10.0,14,0.299,2,0.6544,18801.68,2,3,1399.01,1,0,0
25,89668.95,31.0,12,0.4401,0,0.5111,19249.58,9,0,3748.94,1,0,1
29,30090.21,26.0,1,0.1931,2,0.6109,23028.19,3,3,855.83,0,0,0
51,48003.17,20.0,3,0.1821,2,0.3877,8625.02,4,4,18187.43,0,0,1
50,27071.47,12.0,10,0.4616,0,0.3509,7975.76,2,4,5511.9,0,0,1
65,29697.63,21.0,7,0.5225,0,0.299,6205.53,2,2,5621.95,0,1,0
72,64414.35,34.0,13,0.2136,3,0.3899,17667.66,3,2,1896.85,1,0,1
40,75246.45,21.0,1,0.2779,0,0.4385,25033.6,6,4,16148.59,1,1,1
41,38765.21,27.0,7,0.1983,0,0.251,23593.48,7,1,14088.19,0,1,1
54,74302.37,20.0,5,0.677,0,0.3096,6446.88,5,1,278.77,1,0,0
52,82789.47,17.0,9,0.0361,0,0.384,16444.31,8,0,10546.23,0,1,1
61,103367.65,30.0,2,0.3428,0,0.3621,23968.59,1,2,1629.37,0,0,1
57,56743.67,20.0,1,0.1352,4,0.3862,18196.44,2,0,6488.55,1,0,1
39,39005.89,13.0,9,0.3588,0,0.3626,3724.82,5,3,16353.72,0,0,1
44,29938.2,24.0,8,0.0594,1,0.5994,29437.35,1,4,21751.21,0,0,1
52,27455.17,26.0,10,0.1509,1,0.1192,24438.72,7,4,,0,1,1
18,86244.52,22.0,6,0.2076,0,0.2286,14261.97,3,1,22450.95,1,0,1
52,17122.62,30.0,5,0.4553,0,0.4322,14066.43,6,0,576.98,0,0,0
54,85443.71,28.0,8,0.2567,2,0.2084,15990.78,7,0,19203.92,1,1,1
64,33288.97,29.0,8,0.5108,1,0.4328,25782.17,5,3,11838.72,1,0,1
31,37869.85,25.0,14,0.2395,0,0.5819,10807.99,7,0,19610.98,1,1,1
20,51211.11,19.0,5,0.301,1,0.3764,27257.09,3,3,3647.5,0,0,1
18,37408.64,18.0,12,0.4553,1,0.3536,12816.65,8,0,22611.87,0,0,1
22,78299.49,26.0,7,0.2723,3,0.2844,24385.09,7,2,13652.74,1,0,1
43,100333.6,24.0,13,0.2294,3,0.3596,13902.04,4,4,3183.82,0,0,0
72,38564.2,22.0,13,0.2725,0,0.1999,19501.06,7,3,3311.21,0,0,1
31,44194.05,28.0,1,0.4272,0,0.5812,10646.36,5,4,3535.57,1,0,1
56,50916.98,14.0,4,0.3178,0,0.5315,12608.6,5,4,7109.15,1,0,1
44,68526.42,2.0,2,0.0256,1,0.2682,17103.64,3,0,1606.16,0,0,1
26,51162.89,9.0,10,0.1002,2,0.1846,18190.78,7,0,4546.22,1,0,1
32,89681.44,14.0,3,0.3968,1,0.146,1000.0,4,3,560.47,1,1,0
32,83665.6,15.0,12,0.325,0,0.3759,9955.94,7,1,3549.27,0,0,1
43,25363.44,16.0,1,0.3295,0,0.3331,22723.93,7,1,8790.49,0,1,1
59,68024.2,18.0,11,0.1172,2,0.1914,8589.29,4,4,7122.44,0,0,1
30,93008.48,10.0,11,0.5037,2,0.5744,24237.9,2,1,3044.65,1,0,0
68,42630.48,4.0,2,0.1513,3,0.2079,9973.64,6,2,2378.67,0,0,0
49,47643.38,4.0,13,0.0139,0,0.4265,16265.96,6,0,3169.23,0,0,1
56,41799.08,13.0,1,0.5722,1,0.3661,12075.9,5,4,576.67,1,1,0
66,42323.11,25.0,8,0.3604,2,0.5236,26113.77,1,0,2382.69,1,0,0
69,13288.71,7.0,4,0.1059,2,0.6378,31027.16,2,1,9849.41,1,0,1
49,21792.13,4.0,3,0.5773,0,0.527,9286.55,7,2,1575.41,0,1,0
21,56936.84,6.0,1,0.4218,0,0.5111,16083.21,3,2,1190.14,0,0,1
47,92839.95,15.0,2,0.1754,0,0.4915,6845.49,7,3,14969.39,0,0,1
54,39665.98,13.0,3,0.6787,1,0.5463,7730.24,2,4,2159.29,0,0,0
40,38931.07,3.0,3,0.3023,0,0.5366,23386.04,9,2,,0,0,1
56,97538.03,16.0,6,0.2208,1,0.3975,14535.9,9,4,4974.63,0,0,1
62,27293.56,5.0,10,0.6282,0,0.519,15638.75,5,4,5107.94,0,0,0
32,13468.92,15.0,8,0.0822,3,0.5127,17691.65,5,4,1648.35,1,0,1
60,34287.11,28.0,6,0.0834,0,0.3217,9805.25,8,0,6497.96,0,1,1
46,38430.39,9.0,2,0.6292,4,0.3565,3975.94,9,4,9519.02,0,1,0
53,11313.67,28.0,2,0.251,4,0.1701,6559.53,8,1,5300.83,1,0,1
30,51798.96,13.0,14,0.4619,0,0.1921,10020.45,6,2,18063.56,1,0,1
49,78711.16,3.0,7,0.2358,2,0.3331,25945.42,2,0,38228.82,0,0,1
24,22851.13,12.0,1,0.1419,2,0.396,17434.06,2,2,6016.56,1,0,1
68,57189.46,17.0,1,0.1007,2,0.2625,14898.66,2,1,28805.64,0,1,1
39,64898.39,32.0,7,0.0527,2,0.5866,3853.75,3,0,8318.72,0,1,1
45,52915.39,20.0,9,0.1664,1,0.2047,3802.96,5,3,6019.88,0,0,1
19,59642.31,15.0,5,0.1059,1,0.3394,9833.89,1,1,16323.27,1,0,1
59,59933.18,14.0,11,0.1497,1,0.3269,12996.77,9,3,27168.5,1,0,1
62,34681.8,4.0,1,0.1846,0,0.131,8997.14,5,2,55338.53,0,1,1
74,92464.56,5.0,5,0.1123,1,0.6398,8501.75,7,1,11389.52,0,0,0
70,86193.92,2.0,11,0.5063,0,0.2169,10672.2,5,3,5313.37,0,0,1
23,84747.78,11.0,1,0.181,1,0.2636,9478.63,3,3,2808.23,0,0,1
45,80341.89,32.0,10,0.6904,1,0.256,13260.07,3,0,6531.21,1,0,0
45,15625.51,32.0,12,0.7043,1,0.2793,16449.28,4,0,12023.68,0,0,1
61,78151.56,30.0,9,0.3136,2,0.3856,21106.08,3,2,217.53,0,1,0
61,71390.04,20.0,4,0.2652,2,0.7587,6270.09,6,1,2491.98,0,0,0
37,16586.91,26.0,9,0.4097,1,0.3237,14510.75,5,3,3503.12,0,1,0
47,49627.24,26.0,2,0.0479,2,0.353,31197.9,1,1,12111.12,0,0,1
28,61919.84,7.0,7,0.4531,1,0.2741,12263.32,4,4,7606.07,1,0,0
72,96607.93,31.0,12,0.2129,0,0.5791,14802.78,8,2,4436.92,0,1,1
45,73118.1,25.0,13,0.097,1,0.3304,7929.42,9,2,20132.84,1,0,1
42,33385.86,1.0,2,0.099,0,0.2525,20402.45,6,0,6180.06,0,1,1
56,97384.71,11.0,12,0.285,2,0.3246,9487.24,4,3,10296.29,0,0,1
50,56094.49,21.0,4,0.3657,3,0.2853,31109.03,2,1,8524.65,0,0,1
18,48603.97,16.0,6,0.5873,3,0.3968,10938.43,9,3,15644.11,0,1,1
74,46822.05,6.0,14,0.0846,0,0.5402,12379.1,8,2,13386.63,0,0,1
44,14411.12,3.0,2,0.2769,0,0.4618,17351.82,5,3,36101.74,0,1,0
74,52255.76,31.0,2,0.2498,1,0.2402,35043.48,8,2,3813.86,1,1,1
69,67437.13,10.0,2,0.5429,1,0.3102,4930.39,6,4,1441.36,0,0,0
30,45365.42,0.0,3,0.1716,1,0.0757,23474.39,1,3,11410.85,0,1,1
58,65511.31,24.0,5,0.144,1,0.2759,17801.97,8,2,16617.25,0,0,1
20,33390.22,23.0,9,0.1221,2,0.3889,1000.0,5,3,447.25,0,0,0
56,51476.8,16.0,6,0.3243,0,0.3798,12950.07,3,3,3238.24,0,0,1
23,62913.51,7.0,12,0.5824,0,0.3013,15583.71,1,1,13168.57,0,0,0
25,59741.52,26.0,14,0.6094,1,0.7404,15444.75,8,3,9201.85,0,0,0
44,14863.37,17.0,9,0.5679,0,0.4141,25754.65,6,3,11261.82,1,0,1
26,44024.85,26.0,10,0.5515,0,0.3605,8284.76,7,3,6268.07,0,0,1
54,96936.57,21.0,14,0.0776,2,0.5879,4567.52,3,2,3848.05,0,0,0
50,42688.85,15.0,13,0.1183,0,0.4096,1156.03,8,2,13344.64,0,0,1
68,55395.19,1.0,5,0.1719,1,0.1236,23303.82,3,3,6469.18,1,0,1
59,52831.11,4.0,11,0.4365,2,0.3265,22825.74,5,4,5789.12,0,0,0
61,94205.99,17.0,6,0.3888,2,0.1562,15099.98,6,3,10619.5,1,0,1
41,87259.2,2.0,10,0.1466,0,0.4556,8670.74,8,3,1694.34,0,0,0
32,75188.27,26.0,12,0.3577,1,0.3202,14449.76,5,2,7055.2,0,0,1
71,30668.94,16.0,8,0.1201,1,0.4574,38319.76,1,0,2904.01,0,0,1
49,63979.58,15.0,3,0.0152,2,0.5186,14723.61,1,0,,1,0,1
49,69198.54,5.0,2,0.6086,0,0.314,18132.74,6,3,11054.21,1,0,0
41,37534.88,6.0,3,0.3049,3,0.2,1000.0,6,4,5150.07,0,0,1
58,33237.07,13.0,14,0.4155,2,0.2734,18600.01,7,1,18684.79,0,0,1
69,97625.35,14.0,9,0.2795,0,0.1519,20839.27,7,2,5547.84,0,0,1
66,47479.92,32.0,6,0.1549,1,0.4594,10464.61,9,1,81.93,0,1,1
66,95374.42,26.0,10,0.1382,1,0.4993,13307.7,6,1,4204.09,1,0,1
69,79927.34,28.0,12,0.2554,1,0.3739,19062.7,3,4,1500.99,0,1,1
29,65196.92,4.0,4,0.1354,1,0.1036,12955.85,3,4,20314.45,0,0,1
56,66313.29,28.0,10,0.1588,1,0.262,24081.86,4,0,4721.82,0,0,1
19,19989.51,31.0,3,0.1064,1,0.471,4446.8,6,2,5718.14,0,0,1
20,60169.37,5.0,13,0.072,1,0.6924,15803.79,4,0,3639.3,1,0,0
66,90425.51,1.0,2,0.4785,0,0.6707,19514.62,2,4,5908.91,0,0,0
54,72033.49,5.0,14,0.3398,3,0.3106,15841.99,7,4,691.37,1,1,0
66,58858.42,3.0,4,0.16,1,0.1668,6306.34,2,2,4910.74,0,0,1
73,97798.43,28.0,9,0.1913,0,0.4063,22305.9,5,2,8711.91,0,0,1
34,50373.98,24.0,4,0.2071,5,0.3118,3658.35,5,3,3724.96,0,1,1
66,39511.11,8.0,13,0.2223,3,0.3073,7866.13,8,3,3989.43,0,0,1
19,58845.8,2.0,12,0.0404,1,0.5212,14886.05,5,1,14532.66,1,0,1
19,74161.68,25.0,5,0.4178,0,0.6038,19136.72,6,2,6153.77,1,1,1
45,12055.15,26.0,8,0.0617,2,0.2828,8177.51,4,2,7087.03,0,0,1
71,62121.72,31.0,2,0.1209,0,0.1933,1932.12,4,0,2817.1,0,0,1
40,75258.63,0.0,12,0.2933,0,0.1842,18402.3,3,0,5277.39,1,0,1
54,48258.96,15.0,11,0.2416,0,0.4349,1000.0,2,3,443.77,1,0,1
49,82674.12,10.0,14,0.3437,0,0.3267,17421.3,4,1,4501.12,0,0,1
50,71029.67,25.0,3,0.3474,0,0.4176,18123.93,9,4,12984.06,0,0,1
18,108534.58,0.0,6,0.5403,0,0.3312,28011.5,9,3,1408.72,1,0,0
36,36234.93,25.0,12,0.2292,2,0.5084,19583.08,4,0,11567.6,1,0,1
19,75767.75,27.0,7,0.522,1,0.2506,10870.28,9,4,,1,0,1
70,29566.9,8.0,4,0.2864,2,0.3183,16545.42,5,1,219.48,1,0,1
61,14615.84,21.0,14,0.4728,2,0.3042,22276.75,9,0,24496.32,0,0,1
43,10000.0,7.0,1,0.3745,0,0.6612,17634.38,9,3,1600.86,0,1,0
49,68458.1,26.0,7,0.2458,1,0.2163,14072.62,9,3,3260.96,0,0,1
23,59606.2,18.0,12,0.1922,4,0.4816,25219.35,9,1,5242.62,0,0,0
49,43023.72,24.0,9,0.4059,0,0.3546,6502.83,7,3,23877.27,0,0,1
72,10662.39,20.0,1,0.2772,3,0.4527,2891.5,9,1,6962.28,0,0,1
21,37740.33,23.0,14,0.1897,2,0.5095,1000.0,1,2,18859.79,0,0,1
72,55102.33,23.0,1,0.0375,0,0.4369,26524.94,4,0,6649.44,1,0,1
28,74829.23,18.0,1,0.2622,1,0.6953,8391.58,6,2,1839.29,0,0,0
73,54586.61,1.0,10,0.4182,0,0.4054,12374.48,6,2,6647.73,1,1,1
34,61301.51,13.0,7,0.4438,2,0.0825,15951.49,1,3,846.84,1,0,1
55,45596.69,31.0,11,0.3201,0,0.4942,8989.41,1,4,995.97,0,1,1
41,98730.61,31.0,9,0.5456,1,0.2855,24524.44,1,3,983.36,0,0,0
22,29543.76,27.0,3,0.0696,2,0.3152,24222.67,8,0,98.63,0,0,1
69,37519.04,12.0,8,0.0607,0,0.3854,19905.75,1,3,1312.27,1,0,1
51,42691.05,11.0,9,0.3484,0,0.5376,14542.39,9,0,3483.01,1,0,0
23,68567.61,7.0,3,0.5146,1,0.5183,10267.8,2,4,598.79,0,0,1
39,29028.51,14.0,12,0.481,1,0.4279,6206.25,9,4,49.46,0,1,0
28,58392.96,25.0,12,0.3009,0,0.4569,16837.62,9,4,952.72,0,0,0
65,59122.75,11.0,3,0.1238,0,0.2179,10509.37,2,0,21998.23,0,1,1
33,37641.05,26.0,1,0.4043,1,0.1803,19417.21,4,4,5966.27,0,0,1
50,63249.49,17.0,2,0.3929,3,0.1391,7103.12,9,2,4567.77,1,1,1
26,29804.65,26.0,7,0.0866,2,0.3559,3569.42,9,3,5342.29,1,0,1
23,27073.15,8.0,3,0.1832,1,0.1704,22493.54,8,3,6474.01,0,1,0
33,57490.14,0.0,7,0.066,0,0.4382,13708.84,5,0,912.8,1,0,1
46,13506.11,6.0,5,0.1275,3,0.7327,19971.29,1,1,7031.12,1,0,1
20,10000.0,25.0,10,0.2459,2,0.2439,22734.43,2,1,14376.91,1,0,0
37,68320.83,6.0,8,0.1716,1,0.2486,11404.52,4,3,6579.59,0,0,1
53,81224.25,6.0,5,0.0796,0,0.2362,1000.0,9,1,17167.91,0,0,1
36,43329.92,,3,0.3448,3,0.1125,30538.55,4,1,1190.14,0,1,0
43,38298.23,15.0,9,0.5061,2,0.1919,29139.54,5,1,13984.38,0,0,1
20,80138.38,2.0,7,0.1474,1,0.2773,17916.85,1,0,8692.23,0,1,1
36,26361.54,9.0,5,0.1995,2,0.2231,13045.61,5,2,7404.11,1,1,1
37,20915.68,6.0,7,0.0449,2,0.5235,10105.37,2,4,7108.89,1,0,1
49,72690.91,20.0,11,0.4913,3,0.2663,18393.98,9,0,,0,1,0
24,55225.95,30.0,10,0.0655,2,0.7872,20262.36,9,2,8216.49,0,1,0
69,81621.92,22.0,9,0.0469,0,0.0895,14415.11,5,4,4070.36,0,0,1
58,10000.0,26.0,5,0.2597,0,0.5082,8723.71,8,4,522.77,0,0,1
50,19983.15,21.0,7,0.1859,0,0.1841,22982.88,6,0,1837.88,1,0,1
57,55358.3,26.0,11,0.1631,1,0.356,9766.25,8,3,4675.46,1,0,1
56,65441.84,3.0,9,0.201,4,0.5197,23031.26,9,0,39669.78,1,0,1
35,76174.93,23.0,1,0.4193,1,0.2377,12569.73,4,4,4506.31,0,0,0
57,59370.44,22.0,4,0.1698,0,0.3883,28304.98,4,1,1298.07,1,0,1
18,59116.38,18.0,1,0.1761,2,0.3347,6352.54,7,1,18558.63,0,1,1
28,45264.96,2.0,8,0.1598,0,0.2463,28547.54,5,3,286.99,1,0,0
45,94772.62,26.0,3,0.0535,1,0.1663,14260.66,4,0,1084.06,0,0,1
74,27424.41,2.0,2,0.5131,0,0.4062,15603.64,2,4,5135.45,0,0,0
42,63975.5,27.0,14,0.2096,4,0.3976,9600.77,2,1,778.95,1,0,1
67,30304.78,16.0,4,0.5451,4,0.2597,9026.24,4,2,6781.32,0,0,1
40,68369.46,30.0,11,0.1152,0,0.3915,6706.45,8,1,1373.59,1,0,1
48,29074.56,9.0,3,0.1754,3,0.5635,8302.17,8,3,8418.2,1,1,1
47,73595.39,21.0,11,0.1326,0,0.0584,18608.88,7,0,1001.46,0,0,1
